message,label,emoji_suggestion,hidden_meaning,context,situation,speaker_role
As you wish.,reluctant,😕,Forced acceptance,relationship,decision_making,friend
As you wish.,reluctant,😕,Forced acceptance,classroom,decision_making,student
I'll think about it.,confused,🤔,Mentally uncertain,friend_chat,conflict,student
I guess so.,confused,🤷,Lack of clarity,family_chat,decision_making,student
That's interesting.,neutral,😶,Polite but distant,relationship,decision_making,parent
"Sure, why not.",sarcastic,🙃,Annoyed but pretending,friend_chat,emotional,student
As you wish.,reluctant,😕,Forced acceptance,family_chat,decision_making,parent
Leave it.,angry,😠,Shutting down,family_chat,conflict,parent
It's fine.,passive_aggressive,😒,Upset but avoiding conflict,workplace,conflict,parent
Okay then.,neutral,🙂,Acceptance,friend_chat,casual_chat,parent
We’ll see.,avoidant,😬,Avoiding commitment,family_chat,emotional,parent
Fine by me.,neutral,🙂,No resistance,workplace,emotional,partner
Okay then.,neutral,🙂,Acceptance,friend_chat,emotional,parent
If you say so.,dismissive,😐,Emotionally disengaged,classroom,emotional,friend
I'll think about it.,confused,🤔,Mentally uncertain,friend_chat,casual_chat,student
I'm alright.,hurt,🥲,Hiding emotional pain,family_chat,conflict,friend
"Sure, why not.",sarcastic,🙃,Annoyed but pretending,workplace,casual_chat,friend
Okay then.,neutral,🙂,Acceptance,relationship,decision_making,manager
I’m just tired.,anxious,😞,Emotionally exhausted,family_chat,conflict,manager
Okay... as you say.,reluctant,😕,Not really agreeing,friend_chat,casual_chat,friend
Forget it.,hurt,🥲,Feeling dismissed,friend_chat,casual_chat,friend
Totally okay.,neutral,🙂,Actually fine,workplace,casual_chat,partner
It's fine.,passive_aggressive,😒,Upset but avoiding conflict,workplace,conflict,student
I'm alright.,hurt,🥲,Hiding emotional pain,workplace,emotional,manager
You decide.,avoidant,😬,Avoiding responsibility,family_chat,decision_making,parent
Up to you.,avoidant,😬,Avoiding responsibility,classroom,emotional,friend
Okay then.,neutral,🙂,Acceptance,classroom,conflict,friend
Up to you.,avoidant,😬,Avoiding responsibility,classroom,conflict,parent
Okay then.,neutral,🙂,Acceptance,friend_chat,conflict,manager
Good for you.,manipulative,😏,Hidden jealousy,family_chat,conflict,parent
"Sure, why not.",sarcastic,🙃,Annoyed but pretending,relationship,conflict,partner
"Sure, why not.",sarcastic,🙃,Annoyed but pretending,classroom,decision_making,parent
Forget it.,hurt,🥲,Feeling dismissed,family_chat,emotional,friend
I'll think about it.,confused,🤔,Mentally uncertain,relationship,casual_chat,partner
We’ll see.,avoidant,😬,Avoiding commitment,friend_chat,casual_chat,parent
Do whatever you want.,angry,😠,Frustrated and dismissive,classroom,argument,partner
